Date,Type,Event,URL,Image
2024-01-18,Paper,"Alhamdulillah! Our manuscript titled ""Towards Designing a Question-Answering Chatbot for Online News: Understanding Perspectives and Questions"" has been accepted in the ACM CHI 2024.",,,
2023-10-7,Paper,"Alhamdulillah! Our manuscript titled ""Not all Fake News is Written: A Dataset and Analysis of Misleading Video Headlines"" has been accepted in the EMNLP 2023.",,,
2023-05-20,Paper,"Alhamdulillah! Our manuscript titled ""Semantic-based Unsupervised Framing Analysis (SUFA): A Novel Approach for Computational Framing Analysis"" has been selected as the Top Method Paper in the Communication Theory and Methodology Division Competition in AEJMC 2023.",,,
2023-05-02,Award,Md Naimul Hoque has been awarded a Doctoral Student Research Award (DSRA) to study the future of news engagement.,,,
2023-03-29,Award,Naeemul Hassan has received the Exemplary Researcher award at the 2023 Maryland Research Excellence Celebration.,,,
2022-05-05,Award,Our member Yoo Yeon Sung has received the Doctoral Student Research Award (DSRA) to study Detection of Misleading Videos.,,,
2023-04-05,Award,Our member Mohammad Ali has received the Graduate Student Summer Research Fellowship for Summer 2023 to conduct a study on Computational Framing Analysis.,,,
2023-02-16,Award,Our member Saransh Grover has received the Dr. Frank G. Burke Endowed Graduate Research Award to conduct a study on Crowdsourced Fact-checking in TikTok.,,,
2023-03-03,Talk,Naeemul Hassan will talk about Health Misinformation on a webinar organized by National Library of Medicine (NNLM).,,,
2023-02-01,Talk,Naeemul Hassan discusses the potential of computational journalism in a UMD Special Presentation- Data Journalism: Using Data to Tell Impactful Stories.,https://youtu.be/LiJZskBwVcc,,
2022-10-13,Talk,CJLab arranged an open house.,https://bit.ly/cjlab2022,,
2022-02-11,Paper,"Alhamdulillah! Our manuscript titled ""Understanding the Narratives of Misinformation about Muslims"" has been accepted in the CHI 2022 workshop- Integrating Religion, Faith, and Spirituality in HCI",,
2022-10-12,Paper,"Alhamdulillah! Our manuscript titled ""A Survey of Computational Framing Analysis Approaches"" has been accepted in the EMNLP 2022.",,
2021-07-01,Grant,National Science Foundation has granted an REU supplement award.,,
2020-10-21,Paper,"Alhamdulillah! Our manuscript titled ""Automatically Assessing Quality of Online Health Articles"" has been accepted for the IEEE Journal of Biomedical and Health Informatics.",,
2020-08-29,Paper,"Alhamdulillah! Our short paper titled ""ClaimViz: Visual Analytics for Identifying and Verifying Factual Claims"" has been accepted in IEEE VIS 2021.",,
2020-12-12,Paper,"Alhamdulillah! Our paper titled ""Does Clickbait Actually Attract More Clicks?  Three Clickbait studies you must read"" has been accepted in CHI 2021.",,
2020-12-23,Paper,"Alhamdulillah! Our paper titled ""Exploring the Tensions between the Owners and the Drivers of Uber Cars in Urban Bangladesh"" has been accepted in CSCW 2021.",,
2020-05-28,Talk,Naeemul Hassan gave a talk in the 37th HCIL Symposium.,https://www.youtube.com/watch?v=pO-qFAk6Tzs,
2020-05-19,Paper,"Alhamdulillah! Our paper titled ""Varying amounts of information in health news headlines can affect user selection and interactivity"" has been accepted in AEJMC 2020",,
2020-02-27,Paper,"Alhamdulillah! Our paper titled ""A Benchmark Dataset of Check-worthy Factual Claims"" has been accepted at the International AAAI Conference on Web and Social Media (ICWSM 2020)",,
2020-02-15,Talk,"Naeemul Hassan will be in a panel discussing ""Fighting Disinformation to Save Democracy"". ",https://umdischool.activehosted.com/index.php?action=social&chash=45fbc6d3e05ebd93369ce542e8f2322d.249,
2019-11-15,Paper,"Alhamdulillah! Our paper titled ""Towards Automated Sexual Violence Report Tracking"" has been accepted at the International AAAI Conference on Web and Social Media (ICWSM 2020)",,
2019-11-09,Paper,"Alhamdulillah! Our paper titled ""Understanding the Challenges for Bangladeshi Women to Participate in #MeToo Movement"" has been accepted in ACM GROUP 2020",,
2019-09-10,Paper,"Alhamdulillah! Our paper titled ""Towards Domain-Specific Characterization of Misinformation"" has been accepted in AAAI Fall Symposium Series 2019",,
2019-09-10,Paper,"Alhamdulillah! Our paper titled ""Examining the Role of Clickbait Headlines to Engage Readers with Reliable Health-related Information"" has been accepted in AAAI Fall Symposium Series 2019",,
2021-11-01,New Member,Saransh Grover is joining our lab as an iSchool MS student from Fall 2022.,,
2022-04-01,New Member,Farhana Uddin is joining our lab as an iSchool/CMNS undergraduate student from Spring 2022.,,
2022-01-21,New Member,Mayukha Kindi is joining our lab as a CS undergraduate student from Spring 2022.,,
2020-06-16,New Member,Yoo yeon Sung (Sophie) is joining our lab as a new iSchool Ph.D. student from Fall 2020.,,
2020-06-17,Grant,Alhamdulillah! We have received a grant from NSF to keep online platforms safe from video clickbaits.,https://www.nsf.gov/awardsearch/showAward?AWD_ID=1949649&HistoricalAwards=false,
2020-06-17,Grant,Alhamdulillah! Naeemul Hassan has received a teaching innovation grant from the University of Maryland provost's office.,,
2020-07-24,Paper,"Alhamdulillah! Our paper titled ""Combating Misinformation in Bangladesh: Roles and Responsibilities as Perceived by Journalists, Fact-checkers, and Users"" has been accepted at the 23rd ACM Conference on Computer-Supported Cooperative Work and Social Computing",,
